path,bytes,mtime,last_commit,inbound_refs
backend/app/schemas/database.py,2349,2026-06-19,2026-06-22,215
backend/app/schemas/family_member.py,8176,2026-06-21,2026-06-22,387
backend/app/schemas/health_record.py,11887,2026-06-19,2026-06-22,181
backend/app/schemas/household.py,1677,2026-06-20,2026-06-22,1318
backend/app/schemas/insight_sections.py,2538,2026-06-19,2026-06-22,17
backend/app/schemas/insight_serializers.py,4742,2026-06-19,2026-06-22,4
backend/app/schemas/message.py,225,2026-06-20,2026-06-22,437
backend/app/schemas/notification.py,772,2026-06-19,2026-06-22,228
backend/app/schemas/provider.py,2130,2026-06-19,2026-06-22,2481
backend/app/schemas/provider_assignment.py,998,2026-06-19,2026-06-22,42
backend/app/schemas/reminder.py,2564,2026-06-19,2026-06-22,662
backend/app/schemas/smart_report.py,3140,2026-06-19,2026-06-22,50
backend/app/schemas/system.py,1137,2026-06-19,2026-06-22,199
backend/app/schemas/user.py,674,2026-06-20,2026-06-22,691
backend/app/schemas/vaccination.py,1539,2026-06-19,2026-06-22,126
backend/app/services/__init__.py,23,2026-05-03,2026-06-22,47
backend/app/services/ai/__init__.py,55080,2026-06-21,2026-06-22,46
backend/app/services/ai/base.py,11460,2026-06-20,2026-06-22,786
backend/app/services/ai/chat_assistant.py,1570,2026-06-20,2026-06-22,1
backend/app/services/ai/context_builder.py,27039,2026-06-19,2026-06-22,5
backend/app/services/ai/document_extractor.py,55127,2026-06-22,2026-06-22,15
backend/app/services/ai/insight_generator.py,7142,2026-06-20,2026-06-22,3
backend/app/services/ai/model_fetcher.py,4724,2026-06-20,2026-06-22,1
backend/app/services/ai/providers/__init__.py,71,2026-05-31,2026-06-22,47
backend/app/services/ai/providers/gemini.py,3119,2026-06-19,2026-06-22,88
backend/app/services/ai/providers/groq.py,2239,2026-06-20,2026-06-22,67
backend/app/services/ai/providers/ollama.py,9812,2026-06-20,2026-06-22,246
backend/app/services/ai/providers/openai.py,2737,2026-06-19,2026-06-22,89
backend/app/services/ai/providers/openrouter.py,2353,2026-06-19,2026-06-22,67
backend/app/services/ai_service.py,430,2026-06-19,2026-06-22,194
backend/app/services/attachment_service.py,16072,2026-06-22,2026-06-22,30
backend/app/services/auth_service.py,2533,2026-06-19,2026-06-22,27
backend/app/services/backup_service.py,35759,2026-06-19,2026-06-22,1
backend/app/services/dashboard_service.py,18057,2026-06-21,2026-06-22,1
backend/app/services/db_maintenance.py,13359,2026-06-19,2026-06-22,5
backend/app/services/dedup_service.py,14076,2026-06-19,2026-06-22,2
backend/app/services/drug_info/__init__.py,247,2026-07-18,2026-07-17,47
backend/app/services/drug_info/base.py,6078,2026-07-18,2026-07-18,787
backend/app/services/drug_info/providers/__init__.py,73,2026-07-18,2026-07-17,47
backend/app/services/drug_info/providers/drugbank.py,4278,2026-07-18,2026-07-17,41
backend/app/services/drug_info/providers/openfda.py,5718,2026-07-18,2026-07-17,27
backend/app/services/drug_info/providers/rxnorm.py,2288,2026-07-18,2026-07-17,32
backend/app/services/drug_info/service.py,6759,2026-07-18,2026-07-17,1147
backend/app/services/email_service.py,4052,2026-06-19,2026-06-22,0
backend/app/services/health_alert_service.py,3897,2026-06-19,2026-06-22,3
backend/app/services/health_record_service.py,14417,2026-06-19,2026-06-22,6
backend/app/services/health_resources/__init__.py,312,2026-07-18,2026-07-18,47
backend/app/services/health_resources/providers/__init__.py,87,2026-07-18,2026-07-18,47
backend/app/services/health_resources/providers/clinicaltrials.py,2086,2026-07-18,2026-07-18,16
backend/app/services/health_resources/providers/dailymed.py,1626,2026-07-18,2026-07-18,34
backend/app/services/health_resources/providers/healthcanada.py,2073,2026-07-18,2026-07-18,12
backend/app/services/health_resources/providers/medlineplus.py,3291,2026-07-18,2026-07-18,48
backend/app/services/health_resources/providers/mhra.py,2094,2026-07-18,2026-07-18,14
backend/app/services/health_resources/service.py,3993,2026-07-18,2026-07-18,1147
backend/app/services/health_score_service.py,9380,2026-06-19,2026-06-22,7
backend/app/services/household_service.py,1215,2026-06-20,2026-06-22,14
backend/app/services/insight_service.py,10600,2026-06-20,2026-06-22,15
backend/app/services/lab_result_service.py,1870,2026-06-20,2026-06-22,2
backend/app/services/medication_service.py,17475,2026-06-22,2026-06-22,11
backend/app/services/member_service.py,29371,2026-06-21,2026-06-22,36
backend/app/services/notification_service.py,2601,2026-06-19,2026-06-22,16
backend/app/services/preventive_care_service.py,9823,2026-06-21,2026-06-22,4
backend/app/services/provider_service.py,7442,2026-06-20,2026-06-22,23
backend/app/services/reminder_service.py,6688,2026-06-19,2026-06-22,21
backend/app/services/totp_service.py,1935,2026-06-19,2026-06-22,1
backend/app/services/verification_service.py,11191,2026-06-19,2026-06-22,5
backend/pyproject.toml,1787,2026-06-22,2026-06-22,8
backend/scripts/__init__.py,0,2026-04-14,2026-06-22,47
backend/scripts/db_maintenance.py,8902,2026-04-14,2026-06-22,3
backend/scripts/export_openapi.py,532,2026-04-14,2026-06-22,0
backend/tests/__init__.py,36,2026-04-09,2026-06-22,47
backend/tests/conftest.py,3341,2026-06-19,2026-06-22,0
backend/tests/extraction/__init__.py,426,2026-06-18,2026-06-22,47
backend/tests/extraction/baseline_post_phase3.json,1410,2026-06-18,2026-06-22,0
backend/tests/extraction/baseline_pre_phase3.json,1440,2026-06-18,2026-06-22,0
backend/tests/extraction/evaluator.py,3840,2026-06-19,2026-06-22,4
backend/tests/extraction/golden_documents.py,6626,2026-06-19,2026-06-22,2
backend/tests/extraction/metrics.py,4503,2026-06-19,2026-06-22,14
backend/tests/extraction/test_extraction_eval.py,3310,2026-06-19,2026-06-22,0
backend/tests/integration/__init__.py,38,2026-04-09,2026-06-22,47
backend/tests/integration/test_ai_status.py,5241,2026-06-19,2026-06-22,0
backend/tests/integration/test_auth.py,2876,2026-06-19,2026-06-22,2
backend/tests/integration/test_authz_cross_household.py,8699,2026-06-21,2026-06-22,0
backend/tests/integration/test_conversations.py,3036,2026-06-19,2026-06-22,0
backend/tests/integration/test_created_record_not_deleted.py,4073,2026-06-22,2026-06-22,0
backend/tests/integration/test_currently_taking_medication.py,4359,2026-06-22,2026-06-22,0
backend/tests/integration/test_drug_interactions.py,13119,2026-06-19,2026-06-22,2
backend/tests/integration/test_extract_batch_stream.py,8906,2026-06-21,2026-06-22,0
backend/tests/integration/test_extract_stream.py,5151,2026-06-19,2026-06-22,0
backend/tests/integration/test_health_alerts.py,619,2026-06-19,2026-06-22,0
backend/tests/integration/test_health_records.py,10137,2026-06-22,2026-06-22,0
backend/tests/integration/test_household.py,2074,2026-06-19,2026-06-22,0
backend/tests/integration/test_medication_cache.py,1754,2026-06-21,2026-06-22,0
backend/tests/integration/test_member_drug_info.py,5867,2026-07-18,2026-07-17,0
backend/tests/integration/test_member_resources.py,8364,2026-07-18,2026-07-18,0
backend/tests/integration/test_members.py,2681,2026-06-19,2026-06-22,0
backend/tests/integration/test_notifications.py,3123,2026-06-19,2026-06-22,0
backend/tests/integration/test_ollama_medgemma.py,10194,2026-06-19,2026-06-22,0
backend/tests/integration/test_provider_assignments.py,2182,2026-06-19,2026-06-22,0
backend/tests/integration/test_provider_keys.py,3759,2026-06-19,2026-06-22,0
backend/tests/integration/test_providers.py,2524,2026-06-19,2026-06-22,0
backend/tests/integration/test_reminders.py,1564,2026-06-19,2026-06-22,0
backend/tests/integration/test_vaccinations.py,2430,2026-06-19,2026-06-22,0
backend/tests/test_backup_restore.py,4603,2026-06-19,2026-06-22,1
backend/tests/test_chatbot_accuracy.py,9912,2026-06-19,2026-06-22,0
backend/tests/test_db_maintenance.py,5228,2026-06-19,2026-06-22,0
backend/tests/test_restore_archive.py,6531,2026-06-22,2026-06-22,1
backend/tests/unit/__init__.py,68,2026-04-10,2026-06-22,47
backend/tests/unit/test_ai_service.py,11284,2026-06-19,2026-06-22,2
backend/tests/unit/test_attachment_service.py,6816,2026-06-21,2026-06-22,0
backend/tests/unit/test_auth_service.py,3533,2026-06-19,2026-06-22,0
backend/tests/unit/test_bulk_delete_medications.py,2744,2026-06-19,2026-06-22,0
backend/tests/unit/test_currently_taking_fastpath.py,4807,2026-06-22,2026-06-22,0
backend/tests/unit/test_database_pragmas.py,1125,2026-06-21,2026-06-22,0
backend/tests/unit/test_drug_info_base.py,2119,2026-07-18,2026-07-17,0
backend/tests/unit/test_drug_info_providers.py,9624,2026-07-18,2026-07-17,0
backend/tests/unit/test_drug_info_service.py,6958,2026-07-18,2026-07-17,0
backend/tests/unit/test_drug_interactions.py,7105,2026-06-19,2026-06-22,2
backend/tests/unit/test_extraction_cache.py,3277,2026-06-19,2026-06-22,0
backend/tests/unit/test_health_record_service.py,4768,2026-06-19,2026-06-22,0
backend/tests/unit/test_health_resources_providers.py,8263,2026-07-18,2026-07-18,0
backend/tests/unit/test_health_resources_service.py,5742,2026-07-18,2026-07-18,0
backend/tests/unit/test_heuristic_extract.py,6978,2026-06-22,2026-06-22,0
backend/tests/unit/test_household_service.py,2560,2026-06-19,2026-06-22,0
backend/tests/unit/test_insight_mode.py,2581,2026-06-19,2026-06-22,0
backend/tests/unit/test_insight_sections.py,2315,2026-06-19,2026-06-22,0
backend/tests/unit/test_insight_service.py,3448,2026-06-19,2026-06-22,0
backend/tests/unit/test_medication_service.py,11857,2026-06-22,2026-06-22,0
backend/tests/unit/test_member_photo.py,6974,2026-06-21,2026-06-22,0
backend/tests/unit/test_member_service.py,8135,2026-06-19,2026-06-22,0
backend/tests/unit/test_notification_service.py,3668,2026-06-19,2026-06-22,0
backend/tests/unit/test_phase3_accuracy.py,1622,2026-06-19,2026-06-22,0
backend/tests/unit/test_preventive_care_service.py,7046,2026-06-21,2026-06-22,0
backend/tests/unit/test_primary_provider.py,1986,2026-06-19,2026-06-22,0
backend/tests/unit/test_production_hardening.py,9901,2026-06-21,2026-06-22,0
backend/tests/unit/test_provider_keys.py,4471,2026-06-21,2026-06-22,0
backend/tests/unit/test_provider_service.py,4785,2026-06-19,2026-06-22,0
backend/tests/unit/test_rate_limiter.py,2578,2026-06-19,2026-06-22,0
backend/tests/unit/test_reminder_service.py,4020,2026-06-19,2026-06-22,0
backend/tests/unit/test_secured_staging.py,8259,2026-06-22,2026-06-22,0
backend/tests/unit/test_security.py,2399,2026-06-19,2026-06-22,0
backend/tests/unit/test_smart_report_serializer.py,7259,2026-06-19,2026-06-22,0
backend/tests/unit/test_sse.py,1842,2026-06-21,2026-06-22,0
backend/tests/unit/test_storage_magic.py,1142,2026-06-19,2026-06-22,0
backend/tests/unit/test_storage_pipeline.py,3590,2026-06-19,2026-06-22,0
backend/tests/unit/test_verification_service.py,5577,2026-06-19,2026-06-22,0
blog_fhk.md,8008,2026-07-18,2026-07-17,0
dev.sh,1110,2026-06-10,2026-06-22,79
docs/00-domain/CONTEXT_MAP.md,4336,2026-06-19,2026-06-22,0
docs/00-domain/DOMAIN.md,11006,2026-06-19,2026-06-22,26
docs/01-requirements/REQUIREMENTS.md,15955,2026-06-19,2026-06-22,20
docs/02-spec/SPEC.md,75757,2026-06-19,2026-06-22,303
docs/03-review/REVIEW.md,10212,2026-06-19,2026-06-22,370
docs/04-design/ADR/001-database-sqlite-sqlcipher.md,3483,2026-06-19,2026-06-22,1
docs/04-design/ADR/002-auth-jwt-cookie.md,4187,2026-06-19,2026-06-22,1
docs/04-design/ADR/003-pagination-cursor.md,5587,2026-06-19,2026-06-22,1
docs/04-design/ADR/004-ai-provider-failover.md,6540,2026-06-19,2026-06-22,1
docs/04-design/ADR/005-rate-limit-in-memory.md,6998,2026-06-19,2026-06-22,1
docs/04-design/ADR/006-content-addressable-storage.md,3703,2026-06-19,2026-06-22,1
docs/04-design/DESIGN.md,27469,2026-06-21,2026-06-22,30
docs/07-deployment/deployment.md,7210,2026-06-22,2026-06-22,28
docs/AI Tools Task List.md,3044,2026-06-19,2026-06-22,0
docs/Review all AI Tools and.md,151826,2026-06-19,2026-06-22,0
docs/ui_imp_plan.md,15355,2026-06-19,2026-06-22,0
docs/ui_task.md,22209,2026-06-19,2026-06-22,0
frontend/CLAUDE.md,11,2026-04-09,2026-06-22,8
frontend/README.md,1450,2026-04-09,2026-06-22,1
frontend/components.json,520,2026-04-09,2026-06-22,598
frontend/e2e/auth.spec.ts,5243,2026-06-20,2026-06-22,0
frontend/e2e/backup-restore.spec.ts,2034,2026-06-20,2026-06-22,0
frontend/e2e/extract-flow.spec.ts,1761,2026-06-20,2026-06-22,0
frontend/e2e/global-setup.ts,693,2026-05-04,2026-06-22,0
frontend/e2e/helpers/auth.ts,3881,2026-06-20,2026-06-22,668
frontend/e2e/member-delete.spec.ts,1703,2026-06-20,2026-06-22,0
frontend/e2e/members.spec.ts,4076,2026-06-20,2026-06-22,0
frontend/e2e/multi-file-extract.spec.ts,1723,2026-06-20,2026-06-22,0
frontend/e2e/navigation.spec.ts,2309,2026-06-20,2026-06-22,0
frontend/e2e/records.spec.ts,1567,2026-06-20,2026-06-22,0
frontend/e2e/reminders.spec.ts,2395,2026-06-20,2026-06-22,0
frontend/e2e/smoke-real-flow.spec.ts,2846,2026-06-20,2026-06-22,0
frontend/eslint.config.mjs,701,2026-05-04,2026-06-22,0
frontend/index.html,1761,2026-06-19,2026-06-22,234
frontend/package.json,1673,2026-06-20,2026-06-22,33
frontend/playwright.config.ts,585,2026-04-09,2026-06-22,0
frontend/pnpm-workspace.yaml,152,2026-06-19,2026-06-22,0
frontend/postcss.config.mjs,94,2026-04-09,2026-06-22,0
frontend/public/manifest.json,510,2026-06-17,2026-06-22,35
frontend/public/runtime-config.js,573,2026-06-17,2026-06-22,3
frontend/public/sw.js,3078,2026-06-19,2026-06-22,0
frontend/src/__tests__/batch-chunks.test.ts,2956,2026-06-21,2026-06-22,0
frontend/src/__tests__/batch-stream.test.ts,4907,2026-06-21,2026-06-22,0
frontend/src/__tests__/clinical-data.test.ts,3094,2026-04-14,2026-06-22,0
frontend/src/__tests__/extraction-store.test.ts,4792,2026-06-12,2026-06-22,0
frontend/src/__tests__/merge-extracted.test.ts,4513,2026-06-16,2026-06-22,0
frontend/src/__tests__/parse-pasted-rows.test.ts,1389,2026-06-14,2026-06-22,0
frontend/src/__tests__/pending-entry.test.ts,987,2026-06-14,2026-06-22,0
frontend/src/__tests__/record-options.test.ts,1304,2026-06-14,2026-06-22,0
frontend/src/__tests__/vitals-config.test.ts,2102,2026-06-14,2026-06-22,0
frontend/src/components/ai-tools/ai-tools-layout.tsx,2822,2026-06-13,2026-06-22,7
frontend/src/components/auth/login-form.tsx,3998,2026-05-04,2026-06-22,1
frontend/src/components/auth/register-form.tsx,5822,2026-05-01,2026-06-22,1
frontend/src/components/content/backup-restore.tsx,11170,2026-05-31,2026-06-22,1
frontend/src/components/content/data-tab.tsx,15975,2026-06-17,2026-06-22,1
frontend/src/components/content/database-integrity-card.tsx,14688,2026-06-17,2026-06-22,1
frontend/src/components/content/home-content.tsx,8941,2026-06-21,2026-06-22,8
frontend/src/components/content/household-records-content.tsx,6474,2026-06-21,2026-06-22,3
frontend/src/components/content/members-content.tsx,10931,2026-06-21,2026-06-22,4
frontend/src/components/content/onboarding-wizard.tsx,12110,2026-06-12,2026-06-22,7
frontend/src/components/content/provider-detail-content.tsx,12170,2026-06-10,2026-06-22,1
frontend/src/components/content/providers-content.tsx,11550,2026-06-12,2026-06-22,5
frontend/src/components/content/record-detail-content.tsx,19112,2026-06-19,2026-06-22,4
frontend/src/components/content/reminders-content.tsx,9347,2026-06-12,2026-06-22,3
frontend/src/components/conversations/chat-area.tsx,10925,2026-06-12,2026-06-22,10
frontend/src/components/conversations/chat-header.tsx,3080,2026-06-12,2026-06-22,1
frontend/src/components/conversations/conversation-sidebar-panel.tsx,12659,2026-06-12,2026-06-22,7
frontend/src/components/conversations/unified-chat-layout.tsx,6874,2026-06-12,2026-06-22,4
frontend/src/components/dashboard/family-comparison-chart.tsx,3975,2026-05-31,2026-06-22,1
frontend/src/components/home/activity-feed.tsx,6919,2026-06-12,2026-06-22,5
frontend/src/components/home/alert-strip.tsx,3100,2026-06-10,2026-06-22,1
frontend/src/components/home/family-strip.tsx,4894,2026-06-12,2026-06-22,5
frontend/src/components/home/health-overview-card.tsx,5768,2026-06-12,2026-06-22,5
frontend/src/components/home/quick-actions-grid.tsx,1583,2026-06-12,2026-06-22,5
frontend/src/components/layout/header.tsx,8208,2026-06-10,2026-06-22,194
frontend/src/components/layout/mobile-bottom-nav.tsx,2141,2026-06-12,2026-06-22,1
frontend/src/components/layout/mobile-sidebar.tsx,821,2026-05-03,2026-06-22,1
frontend/src/components/layout/sidebar.tsx,5935,2026-06-12,2026-06-22,88
frontend/src/components/members/active-medications-table.tsx,29813,2026-06-21,2026-06-22,1
frontend/src/components/members/canadian-din-lookup.tsx,4264,2026-07-18,2026-07-18,1
frontend/src/components/members/clinical-trials-card.tsx,4934,2026-07-18,2026-07-18,1
frontend/src/components/members/drug-interaction-report.tsx,9562,2026-07-18,2026-07-17,14
frontend/src/components/members/family-summary.tsx,2793,2026-06-02,2026-06-22,1
frontend/src/components/members/insight-card.tsx,4896,2026-07-18,2026-07-18,23
frontend/src/components/members/insight-report-viewer.tsx,22648,2026-06-19,2026-06-22,18
frontend/src/components/members/member-avatar.tsx,2140,2026-06-21,2026-06-22,2
frontend/src/components/members/member-card.tsx,14814,2026-06-21,2026-06-22,1
frontend/src/components/members/member-form-sheet.tsx,2905,2026-06-18,2026-06-22,1
frontend/src/components/members/member-form.tsx,19728,2026-06-19,2026-06-22,5
frontend/src/components/members/member-photo-control.tsx,3665,2026-06-21,2026-06-22,1
frontend/src/components/members/member-tabs.tsx,2521,2026-07-18,2026-07-17,1
frontend/src/components/members/pre-consultation-card.tsx,12904,2026-06-18,2026-06-22,21
frontend/src/components/members/providers-uhid-card.tsx,9020,2026-06-18,2026-06-22,2
frontend/src/components/members/reports/focus-card.tsx,1084,2026-06-19,2026-06-22,1
frontend/src/components/members/reports/hba1c-trend-chart.tsx,5189,2026-06-19,2026-06-22,1
frontend/src/components/members/reports/insight-section.tsx,13372,2026-06-19,2026-06-22,1
frontend/src/components/members/reports/parameter-table.tsx,5008,2026-06-19,2026-06-22,1
frontend/src/components/members/reports/recommendation-list.tsx,1689,2026-06-19,2026-06-22,1
frontend/src/components/members/reports/system-status-grid.tsx,3581,2026-06-19,2026-06-22,1
frontend/src/components/members/smart-report-card.tsx,6978,2026-06-19,2026-06-22,19
frontend/src/components/members/smart-report-viewer.tsx,13083,2026-07-18,2026-07-18,6
frontend/src/components/members/tabs/ai-assistant-tab.tsx,11839,2026-06-20,2026-06-22,7
frontend/src/components/members/tabs/overview-tab.tsx,35269,2026-07-18,2026-07-18,3
frontend/src/components/members/tabs/records-tab.tsx,7256,2026-06-10,2026-06-22,2
frontend/src/components/members/tabs/safety-tab.tsx,16960,2026-07-18,2026-07-18,1
frontend/src/components/members/vaccinations-section.tsx,8260,2026-05-31,2026-06-22,2
frontend/src/components/providers/provider-form-sheet.tsx,1544,2026-06-10,2026-06-22,1
frontend/src/components/providers/provider-form.tsx,5295,2026-06-10,2026-06-22,4
frontend/src/components/records/auto-fill-picker.tsx,4268,2026-06-18,2026-06-22,1
frontend/src/components/records/batch-record-card.tsx,24857,2026-06-12,2026-06-22,1
frontend/src/components/records/batch-upload-queue.tsx,29881,2026-06-21,2026-06-22,3
frontend/src/components/records/custom-field-renderer.tsx,2402,2026-06-22,2026-06-22,1
frontend/src/components/records/dedup-dialog.tsx,14187,2026-06-10,2026-06-22,1
frontend/src/components/records/dynamic-table.tsx,9380,2026-06-14,2026-06-22,4
frontend/src/components/records/medication-sync-dialog.tsx,9324,2026-04-30,2026-06-22,3
frontend/src/components/records/merge-extracted.ts,9764,2026-06-16,2026-06-22,4
frontend/src/components/records/quick-add-record-dialog.tsx,8088,2026-06-14,2026-06-22,3
frontend/src/components/records/quick-blood-glucose-form.tsx,7062,2026-06-14,2026-06-22,2
frontend/src/components/records/quick-parkinsons-form.tsx,6868,2026-05-04,2026-06-22,1
frontend/src/components/records/quick-vitals-form.tsx,3499,2026-05-01,2026-06-22,1
frontend/src/components/records/record-attachments.tsx,7957,2026-06-21,2026-06-22,2
frontend/src/components/records/record-form-utils.ts,4389,2026-06-18,2026-06-22,16
frontend/src/components/records/record-form.tsx,31954,2026-06-21,2026-06-22,32
